,Left,Right
0,ACE inhibitor or Angiotensin Receptor Blocker?,Long Covid
1,Abdominal pain ?,Long Covid
2,Abdominal pain ?,Obesity ?
3,Obesity ?,Long Covid
4,Obesity ?,Pulmonary hypertension ?
5,Age during recruitment:,Long Covid
6,Arterial Hypertension ?,Long Covid
7,Asymptomatic?,Ear pain ?
8,Ear pain ?,SEVERITY
9,Ear pain ?,Long Covid
10,Ear pain ?,Malignant neoplasm ?
11,Atrial fibrillation or flutter ?,Long Covid
12,Atrial fibrillation or flutter ?,Sex at birth:
13,COPD,Long Covid
14,Chest pain ?,Chronic hematologic disease ?
15,Chest pain ?,Dialysis ?
16,Chest pain ?,Long Covid
17,Chest pain ?,Prior myocardial infarction ?
18,Chronic hematologic disease ?,Hemoptysis / Bloody sputum ?
19,Chronic hematologic disease ?,Long Covid
20,Dialysis ?,Long Covid
21,Prior myocardial infarction ?,Headache ?
22,Prior myocardial infarction ?,Long Covid
23,Chronic kidney disease ?,Asthma ?
24,Chronic kidney disease ?,Prior stroke ? 
25,Colchicine?,Long Covid
26,Confusion?,Dementia ? 
27,Confusion?,Long Covid
28,Dementia ? ,Long Covid
29,Coronary artery disease ?,Age during recruitment:
30,Coronary artery disease ?,Diabetes ?
31,Coronary artery disease ?,Long Covid
32,Diabetes ?,Long Covid
33,Diabetes ?,Number of comorbidities: 
34,Diabetes ?,Other chronic cardiac disease ?
35,Diabetes ?,Aphasia / Dysphasia?
36,Cough ?,Please specify drugs used. (choice=Cocaine)
37,Cough ?,Sore throat ?
38,Please specify drugs used. (choice=Cocaine),Long Covid
39,Sore throat ?,Loss of appetite ?
40,Number of comorbidities: ,Long Covid
41,Number of comorbidities: ,Severity of COPD:
42,Other chronic cardiac disease ?,Please specify drugs used. (choice=Other)
43,Aphasia / Dysphasia?,Long Covid
44,Diarrhea ?,Long Covid
45,Diarrhea ?,Loss of taste / lost of smell ?
46,Diarrhea ?,Dyspnea?
47,Dyspnea?,Long Covid
48,Dizziness ?,Extremity weakness or numbness ?
49,Dizziness ?,Patient pregnant?
50,Extremity weakness or numbness ?,Long Covid
51,Extremity weakness or numbness ?,Malignant neoplasm - metastatic?
52,Patient pregnant?,Electronic cigarettes?
53,Drugs?,Asymptomatic?
54,Drugs?,Immunosupressed state?
