,Left,Right
0,ACE inhibitor or Angiotensin Receptor Blocker?,SEVERITY
1,SEVERITY,Height in m:
2,SEVERITY,Urea (HIGHEST)
3,ALT (HIGHEST),Coronary angiography (Cardiac catheterization)?
4,ALT (HIGHEST),SEVERITY
5,Coronary angiography (Cardiac catheterization)?,ARDS
6,ALT,SEVERITY
7,APTT,Meningitis or encephalitis?
8,Meningitis or encephalitis?,Chronic hematologic disease ?
9,Meningitis or encephalitis?,difficulty carrying/lifting 10lbs
10,Meningitis or encephalitis?,SEVERITY
11,Meningitis or encephalitis?,Arthralgia ?.1
12,Meningitis or encephalitis?,Other chronic lung disease ? 
13,AVPU Scale:,ALT
14,AVPU Scale:,Temperature:.1
15,AVPU Scale:,Ribavirin treatment
16,Abdominal pain ?,Haemoglobin (LOWEST)
17,Abdominal pain ?,Trouble speaking (Aphasia / Dysphasia) ?
18,Haemoglobin (LOWEST),times fallen?
19,Trouble speaking (Aphasia / Dysphasia) ?,Red eye (Conjunctivitis) ?
20,Abdominal pain ?.1,SEVERITY
21,ARDS,Psychiatric disease?
22,Psychiatric disease?,Oxygen therapy
23,Acute kidney injury?,Baseline creatinine:
24,Acute kidney injury?,Cardiac arrest?
25,Acute kidney injury?,Dizziness ?
26,Baseline creatinine:,Albumin (LOWEST)
27,Cardiac arrest?,Potassium K+ (HIGHEST)
28,Cardiac arrest?,Smoking status:
29,Dizziness ?,Malignant neoplasm ?
30,Dizziness ?,Sodium Na+:
31,Adjunctive therapy during hospitalization,Breathlessness:
32,Adjunctive therapy during hospitalization,Kaletra treatment
33,Kaletra treatment,Fever?
34,Kaletra treatment,SEVERITY
35,Kaletra treatment,Monocyte (x 10^9/L):
36,Kaletra treatment,Number of other complications:
37,Age au recrutement,SEVERITY
38,Age au recrutement,RSV
39,RSV,SEVERITY
40,RSV,Adenovirus
41,RSV,Ventilatory support:
42,Albumin (LOWEST),SEVERITY
43,Albumin,SEVERITY
44,Anxiety and depression,SEVERITY
45,Anxiety and depression,Vital status at discharge:
46,Vital status at discharge:,Actemra treatment
47,Arterial Hypertension ?,SEVERITY
48,Asymptomatic?,Immunosupressed state?
49,Asymptomatic?,Obesity ?
50,Immunosupressed state?,SEVERITY
51,Immunosupressed state?,If yes (check all that apply): (choice=High-frequency oscillatory ventilation (HFOV))
52,Immunosupressed state?,Dialysis or hemofiltration
53,SpO2 on oxygen:,APTT(HIGHEST)
54,SpO2 on oxygen:,difficulty climbing 10 stairs?
55,difficulty climbing 10 stairs?,difficulty walking across a room?
56,difficulty climbing 10 stairs?,SEVERITY
57,difficulty climbing 10 stairs?,Seizure?
58,is the participant receiving oxygen ?,Duration of hospitalization:
59,is the participant receiving oxygen ?,SEVERITY
60,BMI:,SEVERITY
61,Bacteremia?,SEVERITY
62,Bacteremia?,Total WBC count (HIGHEST) 
63,Total WBC count (HIGHEST) ,Diastolic BP:.1
64,Total WBC count (HIGHEST) ,SEVERITY
65,Bacterial pneumonia?,SEVERITY
66,Bacterial pneumonia?,New atrial fibrillation or flutter?
67,New atrial fibrillation or flutter?,Hyperglycemia?
68,New atrial fibrillation or flutter?,SEVERITY
69,New atrial fibrillation or flutter?,Temperature:
70,Basophil (relative value) (HIGHEST value),Albumin
71,Basophil (relative value) (HIGHEST value),Stem cells treatment
72,Basophil (relative value):,Arterial Hypertension ?
