,Left,Right
0,ACE inhibitor or Angiotensin Receptor Blocker?,Arterial Hypertension ?
1,ACE inhibitor or Angiotensin Receptor Blocker?,Diarrhea ?
2,Arterial Hypertension ?,Chronic hematologic disease ?
3,Diarrhea ?,Age at arrival
4,Diarrhea ?,Long Covid
5,Diarrhea ?,Who answered the questions? (choice=Patient)
6,Abdominal pain ?,Long Covid
7,Abdominal pain ?,Dyspnea?.1
8,Long Covid,Self-care
9,Dyspnea?.1,Breathlessness:
10,Dyspnea?.1,Dyspnea?
11,Age at arrival,Arthralgia?
12,Age at arrival,Long Covid
13,Arthralgia?,Long Covid
14,Anxiety and depression,Long Covid
15,Chronic hematologic disease ?,Cough ?
16,Asthma ?,Leg swelling (Edema) ?
17,Asthma ?,Long Covid
18,Leg swelling (Edema) ?,Long Covid
19,Leg swelling (Edema) ?,Loss of taste / lost of smell ?.1
20,Asymptomatic?,Long Covid
21,BMI:,Weight in kg:
22,Breathlessness:,difficulty climbing 10 stairs?
23,COPD,Aphasia / Dysphasia?
24,Aphasia / Dysphasia?,difficulty walking across a room?
25,Aphasia / Dysphasia?,Long Covid
26,Chest pain ?,Long Covid
27,Cough ?,Cough ?.1
28,Confusion?,Ongoing consent status:
29,Ongoing consent status:,Mobility
30,Cough ?.1,Delay between the diagnosis and the follow-up visit
31,Delay between the diagnosis and the follow-up visit,Dizziness ?.1
32,Country of birth:,Age during recruitment:
33,Country of birth:,Fever?
34,Fever?,difficulty carrying/lifting 10lbs
35,Dizziness ?.1,Electronic cigarettes?
36,Dizziness ?.1,vaccinated?
37,Any side effects?,Long Covid
38,Dizziness ?,Long Covid
39,Dizziness ?,Type of repeat hospital visit: (choice=Emergency room visit)
40,Type of repeat hospital visit: (choice=Emergency room visit),"Have you been re-hospitalized since your initial visit for COVID-19, excluding outpatient clinic visits and planned follow-up visits?"
41,Electronic cigarettes?,Headache ?.1
42,vaccinated?,Headache ?
43,vaccinated?,Long Covid
44,other comorbidities?,Pain and discomfort:
45,Pain and discomfort:,Long Covid
46,Pain and discomfort:,Skin rash ?
47,Drugs?,Cannabis
48,Cannabis,Conjunctivitis?
49,Ear pain ?,Long Covid
50,Ear pain ?,Result of the PCR test determining the participant's COVID status
51,Result of the PCR test determining the participant's COVID status,Long Covid
52,Headache ?.1,Hemoptysis / Bloody sputum ?
53,Fatigue ?,Long Covid
54,Fatigue ?,Type of repeat hospital visit: (choice=Hospital admission)
55,Type of repeat hospital visit: (choice=Hospital admission),Long Covid
56,Fatigue ?.1,Long Covid
