,Left,Right
0,ACE inhibitor or Angiotensin Receptor Blocker?,Hyperglycemia?
1,ACE inhibitor or Angiotensin Receptor Blocker?,SEVERITY
2,Hyperglycemia?,SEVERITY
3,Hyperglycemia?,Metapneumovirus
4,Hyperglycemia?,Platelet (LOWEST)
5,SEVERITY,Extremity weakness or numbness ?
6,SEVERITY,Heart rate (associated with BP):.1
7,SEVERITY,ECMO
8,SEVERITY,Prone positioning2
9,SEVERITY,Living with?
10,SEVERITY,Loss of appetite ?
11,SEVERITY,O2 saturation at room air:
12,SEVERITY,Respiratory rate (associated with BP above):.1
13,SEVERITY,Dyspnea?
14,SEVERITY,Antifungal treatment
15,SEVERITY,Remdesivir treatment
16,ALT (HIGHEST),SEVERITY
17,ALT,SEVERITY
18,ALT,Dialysis or hemofiltration
19,APTT(HIGHEST),SEVERITY
20,APTT(HIGHEST),Monocyte (relative value) (HIGHEST)
21,APTT(HIGHEST),Stem cells treatment
22,Stem cells treatment,Sex:
23,APTT,Vital status:
24,AVPU Scale:,Bronchiolitis?
25,Abdominal pain ?,Asymptomatic?
26,Ability to self-care at discharge versus pre-COVID:,SEVERITY
27,Ability to self-care at discharge versus pre-COVID:,Mobility
28,Acute kidney injury?,ALT
29,Acute kidney injury?,NSTEMI? 
30,Adjunctive therapy during hospitalization,ICU admission?
31,Adjunctive therapy during hospitalization,Vasopressor/inotropic support
32,ICU admission?,ARDS
33,ICU admission?,non-invasive HFNC
34,Albumin,Albumin (LOWEST)
35,Anticoagulants?,SEVERITY
36,Anxiety and depression,Asthma ?
37,Asthma ?,Chest pain ?.1
38,Chest pain ?.1,AVPU Scale:
39,Chest pain ?.1,Chronic hematologic disease ?
40,Chest pain ?.1,New atrial fibrillation or flutter?
41,FiO2:,SEVERITY
42,FiO2:,Aralen treatment
43,Aralen treatment,Sex:
44,SpO2 on oxygen:,Duration of hospitalization:
45,SpO2 on oxygen:,SEVERITY
46,SpO2 on oxygen:,SpO2 (lowest with highest support):
47,SpO2 on oxygen:,Urea (HIGHEST)
48,Duration of hospitalization:,SEVERITY
49,Duration of hospitalization:,Temperature:
50,SpO2 (lowest with highest support):,Liver dysfunction?
51,Urea (HIGHEST),Dementia ? 
52,Urea (HIGHEST),difficulty climbing 10 stairs?
53,Urea (HIGHEST),SEVERITY
54,Atrial fibrillation or flutter ?,djunctive therapy?
55,Atrial fibrillation or flutter ?,SEVERITY
