Long Covid--- Long Covid: 0.0;;;TimesVisited: 84704.0
Does the participant report persistent symptoms related to SARS-CoV-2 infection?--- Long Covid: 1.1102230246251565e-16;;;TimesVisited: 2281.6
From which company did the participant receive the vaccine?--- Long Covid: 7.38631933394629e-10;;;TimesVisited: 1178.1
How was this follow-up completed?--- Long Covid: 1.946603356284271e-08;;;TimesVisited: 955.1
Country of birth:--- Long Covid: 9.211261331465437e-08;;;TimesVisited: 850.1
Does the participant report persistent symptoms related to SARS-CoV-2 infection?--- Does the participant report persistent symptoms related to SARS-CoV-2 infection?: 1.4178077500925923e-07;;;TimesVisited: 821.7
Usual activities, including work, study, housework, family or leisure activities:--- Long Covid: 4.4109161367877903e-07;;;TimesVisited: 745.2
Shortness of breath (Dyspnea) ?--- Long Covid: 6.815365543033636e-07;;;TimesVisited: 716.9
Breathlessness:--- Long Covid: 1.6088366208144578e-06;;;TimesVisited: 659.0
How much difficulty do you have climbing a flight of 10 stairs?--- Long Covid: 6.128722189080449e-06;;;TimesVisited: 571.0
From which company did the participant receive the vaccine?--- From which company did the participant receive the vaccine?: 8.4534389847013e-06;;;TimesVisited: 550.7
Joint pain (Arthralgia) ?--- Long Covid: 1.032100982656381e-05;;;TimesVisited: 537.3
Loss of taste / lost of smell ?--- Loss of taste / lost of smell ?: 1.2413873935024355e-05;;;TimesVisited: 525.4
How was this follow-up completed?--- How was this follow-up completed?: 1.9127603466229104e-05;;;TimesVisited: 497.0
Loss of taste / lost of smell ?--- Long Covid: 2.1318192257924196e-05;;;TimesVisited: 490.0
Collected:--- Long Covid: 3.452090236633065e-05;;;TimesVisited: 459.5
Pain and discomfort:--- Long Covid: 5.266827887073777e-05;;;TimesVisited: 432.5
Chest pain ?--- Long Covid: 5.5208483395574603e-05;;;TimesVisited: 429.2
Blood drawn for the BQC19?--- Long Covid: 9.00128928016386e-05;;;TimesVisited: 398.6
Shortness of breath (Dyspnea) ?--- Shortness of breath (Dyspnea) ?: 0.00013607161554329839;;;TimesVisited: 372.3
Collected:--- Collected:: 0.00018442796660489424;;;TimesVisited: 353.5
Country of birth:--- Country of birth:: 0.00020639155309276624;;;TimesVisited: 346.1
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.: 0.00024249882782345633;;;TimesVisited: 336.4
Please move the slider to indicate from 0 to 100 how your health is TODAY, 100 being the best health you can imagine and 0 being the worst health you can imagine.--- Long Covid: 0.0003042103408084085;;;TimesVisited: 322.7
Joint pain (Arthralgia) ?--- Joint pain (Arthralgia) ?: 0.0003246427819647568;;;TimesVisited: 318.1
How much difficulty do you have lifting or carrying 10 lbs?--- Long Covid: 0.0003353812543630541;;;TimesVisited: 316.8
Has the participant had any new disease and/or worsening and/or deterioration of a pre-existing disease?--- Long Covid: 0.00034648418964911;;;TimesVisited: 314.2
Breathlessness:--- Breathlessness:: 0.00045006460039009877;;;TimesVisited: 298.9
Anxiety and depression:--- Long Covid: 0.00045751035936170137;;;TimesVisited: 297.3
Loss of appetite ?--- Long Covid: 0.0005304983595463275;;;TimesVisited: 288.6
Blood drawn for the BQC19?--- Blood drawn for the BQC19?: 0.0005393162188186418;;;TimesVisited: 287.7
Diarrhea ?--- Long Covid: 0.0005482850039288945;;;TimesVisited: 286.6
Diarrhea ?--- Diarrhea ?: 0.0005574073963899862;;;TimesVisited: 285.4
Delay between the onset of symptoms  and the draw blood --- Delay between the onset of symptoms  and the draw blood : 0.0006258011426154564;;;TimesVisited: 278.2
Anxiety and depression:--- Anxiety and depression:: 0.00064688924404388;;;TimesVisited: 276.8
Fatigue ?--- Fatigue ?: 0.0006799048284282794;;;TimesVisited: 273.5
Fatigue ?--- Long Covid: 0.0007388466380428005;;;TimesVisited: 268.4
How would you rate your current level of functioning? See options above.--- How would you rate your current level of functioning? See options above.: 0.0007388466380428005;;;TimesVisited: 268.2
Number of doses received:--- Number of doses received:: 0.000803078621444131;;;TimesVisited: 263.5
